iter	Passed	Remaining
748	13384	4485
749	13401	4467
750	13418	4449
751	13435	4430
752	13452	4412
753	13469	4394
754	13487	4376
755	13504	4358
756	13522	4340
757	13539	4322
758	13557	4304
759	13576	4287
760	13595	4269
761	13613	4251
762	13631	4234
763	13650	4216
764	13667	4198
765	13685	4180
766	13702	4162
767	13720	4144
768	13737	4126
769	13756	4108
770	13773	4090
771	13791	4073
772	13809	4055
773	13825	4037
774	13842	4018
775	13858	4000
776	13874	3982
777	13891	3963
778	13909	3945
779	13927	3928
780	13948	3911
781	13969	3894
782	13988	3876
783	14007	3859
784	14026	3841
785	14046	3824
786	14065	3806
787	14084	3789
788	14103	3771
789	14121	3753
790	14139	3736
791	14157	3718
792	14176	3700
793	14195	3682
794	14214	3665
795	14232	3647
796	14251	3629
797	14270	3612
798	14288	3594
799	14307	3576
800	14325	3558
801	14342	3541
802	14362	3523
803	14380	3505
804	14397	3487
805	14414	3469
806	14432	3451
807	14449	3433
808	14466	3415
809	14484	3397
810	14501	3379
811	14518	3361
812	14535	3343
813	14551	3325
814	14568	3306
815	14585	3288
816	14602	3270
817	14619	3252
818	14637	3234
819	14653	3216
820	14670	3198
821	14688	3180
822	14705	3162
823	14723	3144
824	14742	3127
825	14761	3109
826	14779	3091
827	14798	3074
828	14815	3056
829	14833	3038
830	14850	3020
831	14866	3001
832	14883	2983
833	14900	2965
834	14915	2947
835	14932	2929
836	14948	2911
837	14964	2892
838	14981	2874
839	14997	2856
840	15014	2838
841	15031	2820
842	15047	2802
843	15050	2781
844	15067	2763
845	15083	2745
846	15100	2727
847	15116	2709
848	15132	2691
849	15149	2673
850	15165	2655
851	15182	2637
852	15198	2619
853	15214	2601
854	15231	2583
855	15247	2565
856	15263	2546
857	15279	2528
858	15295	2510
859	15311	2492
860	15328	2474
861	15345	2456
862	15361	2438
863	15378	2420
864	15395	2402
865	15411	2384
866	15427	2366
867	15444	2348
868	15460	2330
869	15476	2312
870	15493	2294
871	15509	2276
872	15526	2258
873	15541	2240
874	15558	2222
875	15574	2204
876	15589	2186
877	15605	2168
878	15621	2150
879	15638	2132
880	15655	2114
881	15671	2096
882	15688	2078
883	15704	2060
884	15720	2042
885	15736	2024
886	15752	2006
887	15768	1988
888	15785	1970
889	15803	1953
890	15819	1935
891	15837	1917
892	15853	1899
893	15870	1881
894	15887	1863
895	15903	1845
896	15920	1828
897	15936	1810
898	15952	1792
899	15968	1774
900	15985	1756
901	16001	1738
902	16017	1720
903	16034	1702
904	16051	1684
905	16067	1667
906	16083	1649
907	16099	1631
908	16115	1613
909	16132	1595
910	16148	1577
911	16165	1559
912	16182	1542
913	16198	1524
914	16214	1506
915	16231	1488
916	16248	1470
917	16266	1452
918	16283	1435
919	16300	1417
920	16316	1399
921	16334	1381
922	16352	1364
923	16368	1346
924	16385	1328
925	16402	1310
926	16418	1292
927	16435	1275
928	16451	1257
929	16467	1239
930	16483	1221
931	16486	1202
932	16502	1185
933	16519	1167
934	16535	1149
935	16551	1131
936	16567	1113
937	16583	1096
938	16599	1078
939	16616	1060
940	16633	1042
941	16649	1025
942	16665	1007
943	16681	989
944	16697	971
945	16713	954
946	16729	936
947	16746	918
948	16764	900
949	16780	883
950	16796	865
951	16813	847
952	16829	829
953	16845	812
954	16862	794
955	16878	776
956	16893	759
957	16909	741
958	16925	723
959	16942	705
960	16961	688
961	16977	670
962	16993	652
963	17009	635
964	17025	617
965	17041	599
966	17057	582
967	17073	564
968	17089	546
969	17105	529
970	17120	511
971	17137	493
972	17154	476
973	17170	458
974	17186	440
975	17202	423
976	17218	405
977	17233	387
978	17251	370
979	17266	352
980	17283	334
981	17299	317
982	17315	299
983	17332	281
984	17348	264
985	17364	246
986	17381	228
987	17397	211
988	17413	193
989	17429	176
990	17445	158
991	17461	140
992	17478	123
993	17494	105
994	17511	87
995	17526	70
996	17543	52
997	17559	35
998	17575	17
999	17592	0
