iter	Passed	Remaining
878	22720	3127
879	22744	3101
880	22767	3075
881	22792	3049
882	22814	3022
883	22834	2996
884	22856	2969
885	22880	2943
886	22900	2917
887	22921	2891
888	22943	2864
889	22963	2838
890	22985	2811
891	23006	2785
892	23031	2759
893	23054	2733
894	23080	2707
895	23103	2681
896	23125	2655
897	23147	2629
898	23172	2603
899	23194	2577
900	23219	2551
901	23241	2525
902	23269	2499
903	23293	2473
904	23315	2447
905	23338	2421
906	23363	2395
907	23388	2369
908	23414	2343
909	23438	2318
910	23460	2292
911	23483	2265
912	23507	2240
913	23530	2214
914	23553	2188
915	23576	2162
916	23601	2136
917	23627	2110
918	23651	2084
919	23673	2058
920	23699	2032
921	23724	2007
922	23748	1981
923	23770	1955
924	23800	1929
925	23828	1904
926	23852	1878
927	23876	1852
928	23901	1826
929	23924	1800
930	23948	1774
931	23974	1749
932	24004	1723
933	24032	1698
934	24059	1672
935	24086	1646
936	24114	1621
937	24140	1595
938	24167	1569
939	24192	1544
940	24217	1518
941	24240	1492
942	24262	1466
943	24286	1440
944	24308	1414
945	24334	1389
946	24359	1363
947	24381	1337
948	24408	1311
949	24436	1286
950	24459	1260
951	24481	1234
952	24503	1208
953	24525	1182
954	24546	1156
955	24566	1130
956	24587	1104
957	24608	1078
958	24630	1053
959	24651	1027
960	24673	1001
961	24696	975
962	24721	949
963	24743	924
964	24763	898
965	24783	872
966	24804	846
967	24824	820
968	24845	794
969	24866	769
970	24885	743
971	24905	717
972	24925	691
973	24945	665
974	24965	640
975	24984	614
976	25004	588
977	25025	562
978	25050	537
979	25069	511
980	25093	486
981	25117	460
982	25139	434
983	25161	409
984	25184	383
985	25209	357
986	25231	332
987	25255	306
988	25284	281
989	25323	255
990	25355	230
991	25387	204
992	25413	179
993	25439	153
994	25465	127
995	25489	102
996	25519	76
997	25545	51
998	25572	25
999	25602	0
